filename,Bi,SBi,Si,NUMBER_OF_REPET,MAX_STEP,RANDSEED,FRAMEFREQ,Side_of_world,currCriterion,noiseInfoProb,epochOfAmbient,epochOfScramblers,SCRAMBLERS_FLIP_EPO,epochOfTrust,AGENTS_FLIP_EPO,phaseStepForAmbient,MAXAMP,minNumOfWaves,maxNumOfWaves,IntMode,minNumOfScramblers,maxNumOfScramblers,SCRAMB_BIAS_MEAN,SCRAMB_BIAS_DISP,epochOfScramblers,ScramblerEuclid,ScramblerMOVEMENT,NumberOfAgents,AgentMOVEMENT,AgentBrownian,networkType,epochOfTrust,symetricConnections,minInitialTrust,maxInitialTrust,maxERRORofSensors,MIN_TRUST,BIASmean_for_typical_agents,BIAS_DISP,MAX_RECUR_LEVEL,ALFA,BETA,GAMA,LENGTH_of_LEARNING,STEPSperSTAT,REAL_REPET,LAST_REP_ST,OpiAmbDif_fin_N,OpiAmbDif_fin_MIN,OpiAmbDif_fin_HAMN,OpiAmbDif_fin_SQMN,OpiAmbDif_fin_MEAN,OpiAmbDif_fin_QUMN,OpiAmbDif_fin_MAX,OpiAmbDif_fin_STDD,OpiAmbDif_fin_MED,SenAmbDif_fin_N,SenAmbDif_fin_MIN,SenAmbDif_fin_HAMN,SenAmbDif_fin_SQMN,SenAmbDif_fin_MEAN,SenAmbDif_fin_QUMN,SenAmbDif_fin_MAX,SenAmbDif_fin_STDD,SenAmbDif_fin_MED,TomRatio_fin_N,TomRatio_fin_MIN,TomRatio_fin_HAMN,TomRatio_fin_SQMN,TomRatio_fin_MEAN,TomRatio_fin_QUMN,TomRatio_fin_MAX,TomRatio_fin_STDD,TomRatio_fin_MED
RTSIsc1.49gRnd0000012958_Ne.4Si50_Cr.0Bi07.00-20SBi04.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,7.0,4.0,50.0,25,1600,12958,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,4,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,7,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,6.92351,17.9096,19.4632,21.6541,52.78,90.0837,20.5694,40000,14.8338,36.9388,38.7267,39.2368,40.1539,61.4212,72.8082,39.3074,40000,0,0.212726,0.450538,0.476122,0.51071,1.05416,0.034133,0.513042
RTSIsc1.49gRnd0000012698_Ne.4Si50_Cr.0Bi47.00-20SBi02.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,47.0,2.5,50.0,25,1600,12698,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,2.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,47,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,42.3985,48.7581,49.5302,50.8781,94.0247,135.344,49.5448,40000,46.9772,68.1591,68.9329,69.1959,69.7312,100.638,74.3602,69.5461,40000,0,0.631527,0.704577,0.710464,0.719431,1.04674,0.0128221,0.72998
RTSIsc1.49gRnd0000010872_Ne.4Si50_Cr.0Bi21.00-20SBi-06.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,21.0,-6.5,50.0,25,1600,10872,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-6.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,21,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,4.50882,16.4681,18.213,21.0318,61.2435,110.625,17.2522,40000,11.3761,34.1642,37.244,38.2274,40.0863,65.794,145.578,36.6264,40000,0,0.170274,0.425594,0.447244,0.479022,1.10528,0.0294348,0.467593
RTSIsc1.49gRnd0000011153_Ne.4Si50_Cr.0Bi02.00-20SBi-05.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,2.0,-5.0,50.0,25,1600,11153,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,2,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,12.0138,22.3572,23.5389,25.4668,65.4085,94.4761,23.2691,40000,22.8731,41.891,43.3583,43.8485,44.8256,71.9982,86.6485,43.1455,40000,0,0.311542,0.50904,0.52504,0.548704,1.02551,0.0254087,0.543181
RTSIsc1.49gRnd0000012627_Ne.4Si50_Cr.0Bi-24.00-20SBi02.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-24.0,2.5,50.0,25,1600,12627,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,2.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-24,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.318256,2.15875,2.58683,3.31813,18.1538,4.31828,2.08442,40000,0.00018549,1.01061,6.72888,7.87289,9.58518,22.7924,29.8933,6.9808,40000,0,0.0577974,0.505654,1.69057,51.2729,6961.29,2626.05,0.330899
RTSIsc1.49gRnd0000011219_Ne.4Si50_Cr.0Bi-32.00-20SBi-04.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-32.0,-4.5,50.0,25,1600,11219,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-4.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-32,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,47.1228,50.1315,51.0055,52.5128,94.5733,156.033,52.5027,40000,39.6112,69.4278,70.8205,71.2582,72.0947,99.0131,119.911,72.918,40000,0,0.687667,0.704413,0.70944,0.717697,1.03079,0.0117836,0.730165
RTSIsc1.49gRnd0000012064_Ne.4Si50_Cr.0Bi13.00-20SBi-00.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,13.0,-0.5,50.0,25,1600,12064,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-0.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,13,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.378713,3.06581,3.73998,4.94813,25.4861,10.4965,2.87732,40000,0.000463314,2.30034,10.9699,12.437,14.7443,32.9646,62.7146,11.2582,40000,0,0.0633005,0.340761,0.646302,9.14642,1380.24,83.2393,0.292232
RTSIsc1.49gRnd0000012222_Ne.4Si50_Cr.0Bi-29.00-20SBi00.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-29.0,0.5,50.0,25,1600,12222,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,0.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-29,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,1.75759,9.00429,10.4364,13.2633,56.0684,66.9955,8.48536,40000,0.145153,19.9244,24.5499,25.6657,27.7258,63.9795,109.995,24.8961,40000,0,0.103441,0.355749,0.387612,0.547673,46.5063,0.149702,0.375253
RTSIsc1.49gRnd0000014152_Ne.4Si50_Cr.0Bi01.00-20SBi10.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,1.0,10.0,50.0,25,1600,14152,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,10,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,1,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,64.6002,66.9333,67.7436,69.2749,110.54,209.808,66.1942,40000,64.9202,85.8842,86.8578,87.1947,87.885,119.403,120.873,84.7584,40000,0,0.757979,0.767773,0.77127,0.776963,1.03778,0.00881486,0.784876
RTSIsc1.49gRnd0000013641_Ne.4Si50_Cr.0Bi-10.00-20SBi07.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-10.0,7.5,50.0,25,1600,13641,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,7.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-10,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,26.636,37.5277,38.6852,40.6964,77.9586,159.649,38.8391,40000,34.264,57.5223,59.2191,59.7715,60.8433,84.2611,129.265,59.7314,40000,0,0.470929,0.627878,0.636264,0.649625,1.13451,0.0171817,0.657808
RTSIsc1.49gRnd0000011092_Ne.4Si50_Cr.0Bi41.00-20SBi-05.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,41.0,-5.5,50.0,25,1600,11092,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-5.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,41,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.418995,2.86324,3.51248,4.68868,24.7757,9.64621,2.66067,40000,0.000557899,1.59079,9.32843,10.776,12.8512,29.6921,49.0317,10.5546,40000,0,0.0740328,0.425063,1.02769,25.5856,4110.32,653.568,0.326593
RTSIsc1.49gRnd0000012026_Ne.4Si50_Cr.0Bi-25.00-20SBi-00.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-25.0,-0.5,50.0,25,1600,12026,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-0.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-25,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,3.5291,12.6392,14.0496,16.373,49.9109,70.6857,12.8447,40000,5.95014,27.4854,30.1647,30.9354,32.3603,56.3097,90.1866,30.0773,40000,0,0.173607,0.403576,0.427262,0.46181,1.07783,0.030716,0.440291
RTSIsc1.49gRnd0000011956_Ne.4Si50_Cr.0Bi05.00-20SBi-01.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,5.0,-1.0,50.0,25,1600,11956,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-1,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,5,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.0853501,2.70608,3.30085,4.44154,27.0608,8.83165,2.54923,40000,0.000330448,1.78489,8.73509,10.0325,12.2396,32.593,49.156,8.61429,40000,0,0.00670695,0.400915,0.936947,39.2214,7422.9,1537.44,0.32193
