filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig,mnSensAmbDiff!,ratioRTSI2WoC
RTSIsc1.48dRnd0000013636_Ne.4Si50_Cr.0Bi-14.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-14.0,8.0,50.0,50.5,319.5,0.45664573,66.06663,52.504314,39.417953,371.20074,-40.241055,91.68591,0.28859994,26.148046,13.063562,12.596484,38.51664,38.30239,24.808172,13.494219,13.43561,18.194078,53.140194,39.606342,159.75,103.93319,55.81681,55.81681,103.93319,631.92,5.5152187,37.38,0.0,11.840547,33.306328,45.813156,55.067234,80.091705,184.49484,59.660828,51.181328,45.571125,64.89291,0.0,52.04767,0.7329192
RTSIsc1.48dRnd0000011471_Ne.4Si50_Cr.0Bi21.00-5SBi-03.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,21.0,-3.0,50.0,50.5,319.5,0.18217815,-25.141806,-4.526233,-1.8821527,256.3435,-62.04767,62.45338,0.36315438,22.772125,20.118109,5.093844,4.393594,45.292343,28.239407,17.052937,16.98247,21.811218,17.03681,10.409641,159.75,89.7043,70.0457,70.0457,89.7043,631.82,5.537828,37.02,0.0,4.6787343,27.525438,56.537735,79.29825,107.301544,184.66682,62.02253,43.65864,31.786829,34.343468,0.0,9.465607,1.4654741
RTSIsc1.48dRnd0000010068_Ne.4Si50_Cr.0Bi18.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,18.0,-10.0,50.0,50.5,319.5,0.40718558,-80.26315,-63.729626,-50.708088,378.73923,-97.57069,32.6385,0.28239423,29.053812,16.033546,12.536984,50.644955,37.76558,24.43403,13.331547,13.2743435,17.757797,65.202385,51.45935,159.75,105.19503,54.55497,54.55497,105.19503,632.94,5.5148907,37.16,0.0,12.4305935,32.981155,44.80342,53.480045,79.977234,184.75877,59.47311,50.871,46.068283,68.096375,0.0,64.13681,0.78551376
RTSIsc1.48dRnd0000010830_Ne.4Si50_Cr.0Bi-20.00-5SBi-06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-20.0,-6.0,50.0,50.5,319.5,0.38518694,-47.099396,-66.47795,-54.28856,394.85446,-98.67845,35.27844,0.28933027,8.323031,18.876953,11.698922,54.209953,38.242283,24.591047,13.651235,13.593328,18.017687,67.9481,55.19542,159.75,103.92433,55.825672,55.825672,103.92433,632.14,5.4698906,36.9,0.0,10.329938,32.258297,46.47,55.61839,81.2121,185.80115,59.774673,51.725937,45.30483,63.644703,0.0,66.86314,0.80563146
RTSIsc1.48dRnd0000014007_Ne.4Si50_Cr.0Bi-43.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-43.0,10.0,50.0,50.5,319.5,0.65045726,80.83022,39.3786,25.524786,339.82544,-45.174778,81.724174,0.28090593,54.80461,40.95161,13.377234,24.484219,37.340954,24.13686,13.204094,13.148141,17.579235,40.177242,26.032703,159.75,105.55258,54.197422,54.197422,105.55258,632.14,5.5496716,37.01,0.0,11.488438,32.033516,44.49797,53.40386,79.27181,186.69746,59.48603,51.138374,45.811733,68.3108,0.0,38.72814,0.6093637
RTSIsc1.48dRnd0000010922_Ne.4Si50_Cr.0Bi-28.00-5SBi-05.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-28.0,-5.5,50.0,50.5,319.5,0.117179774,-43.61709,-70.7595,-58.909195,399.77948,-100.94214,32.23952,0.29256305,15.556641,26.640734,11.362906,58.563,38.663673,24.759594,13.9040785,13.844125,17.955484,71.93124,59.555195,159.75,103.429565,56.32044,56.32044,103.429565,632.62,5.5151405,36.81,0.0,10.068422,32.303844,46.414642,56.667515,82.974,185.0539,60.589344,51.393295,44.755547,62.3995,0.0,70.87668,0.82250917
RTSIsc1.48dRnd0000012389_Ne.4Si50_Cr.0Bi39.00-5SBi01.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,39.0,1.5,50.0,50.5,319.5,0.17620215,12.643278,51.032867,39.335285,372.4876,-45.56349,89.018906,0.3007384,26.359875,37.886642,11.219,38.729282,39.082954,25.000984,14.081968,14.024015,18.7115,51.981033,40.01615,159.75,101.67666,58.073345,58.073345,101.67666,631.8,5.5322967,37.02,0.0,9.598172,32.628,47.898327,59.015095,84.91463,184.28316,60.459045,50.582344,43.46181,58.959423,0.0,50.856667,0.7491796
RTSIsc1.48dRnd0000011596_Ne.4Si50_Cr.0Bi46.00-5SBi-02.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,46.0,-2.5,50.0,50.5,319.5,0.32383287,-19.580162,25.514336,15.603363,323.4116,-59.634613,70.62257,0.31916407,34.70714,44.595123,9.515562,15.014703,40.881702,25.974546,14.907156,14.843657,19.290562,28.420948,18.609934,159.75,98.331566,61.418438,61.418438,98.331566,631.48,5.465047,36.99,0.0,7.1934533,29.946766,50.553844,65.63939,92.04337,184.0252,61.821342,49.101814,40.331345,50.823467,0.0,25.241922,0.6195668
RTSIsc1.48dRnd0000013622_Ne.4Si50_Cr.0Bi-28.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-28.0,8.0,50.0,50.5,319.5,0.2669615,66.834915,39.445724,25.954742,341.18903,-47.52273,81.35714,0.284437,40.37825,26.8885,13.013562,25.320578,37.59853,24.222157,13.376375,13.318969,17.746437,40.558735,26.810814,159.75,104.85425,54.89575,54.89575,104.85425,631.64,5.5529532,37.37,0.0,10.579953,32.02858,45.658092,55.07961,80.759674,185.83293,59.302906,50.98969,45.098827,66.30974,0.0,39.17876,0.63101226
RTSIsc1.48dRnd0000013151_Ne.4Si50_Cr.0Bi01.00-5SBi05.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,1.0,5.5,50.0,50.5,319.5,0.36032826,45.281826,46.21787,33.567738,347.713,-44.683933,85.35407,0.29010743,11.247907,1.146125,12.168344,32.800655,37.97422,24.397968,13.57625,13.517828,18.20797,47.041973,34.084305,159.75,103.68172,56.068283,56.068283,103.68172,631.52,5.5300937,37.07,0.0,10.288047,32.31511,46.285595,57.00861,83.11459,184.25894,59.53564,50.694202,44.52894,63.49033,0.0,45.85754,0.7012764
